timestamp,P1,P2,P3,P4,P5,P6,Ax,Ay,Az,Gx,Gy,Gz,activity
0.52,41,0,31,965,1753,1537,0.0612,-0.3231,0.7641,-40.92,41.37,-19.06,Walking
0.54,19,0,0,525,1181,2076,-0.049,-0.3201,0.9201,-25.12,33.89,-27.69,Walking
0.56,49,25,15,293,753,2416,-0.009,-0.3604,0.9495,-24.11,-3.02,-36.13,Walking
0.58,0,0,0,133,423,2285,0.0731,-0.5251,1.1681,-35.2,-28.17,-16.54,Walking
0.6,4,27,0,37,205,1920,0.0379,-0.5267,1.3466,-32.61,-21.76,-13.53,Walking
0.62,8,5,0,0,132,1298,-0.0839,-0.4619,1.2996,-33.25,-58.98,-9.67,Walking
0.64,0,11,0,21,27,685,-0.0704,-0.3867,1.6606,-31.32,-61.45,-14.46,Walking
0.66,74,0,0,0,30,349,-0.1144,-0.5253,1.4386,-36.02,-95.79,-0.35,Walking
0.68,0,0,9,43,20,37,-0.1785,-0.5567,1.7159,-26.32,-92.45,1.33,Walking
0.7,27,0,0,7,34,0,-0.1132,-0.5529,1.9135,-17.65,-132.05,8.73,Walking
0.72,21,2,23,0,38,6,-0.1688,-0.4714,1.649,-23.8,-138.69,21.81,Walking
0.74,22,0,0,0,0,0,-0.1873,-0.5508,1.568,-10.9,-133.79,16.69,Walking
0.76,0,1,5,8,47,82,-0.2566,-0.5231,1.6659,-14.34,-167.6,21.42,Walking
0.78,0,9,0,19,3,15,-0.354,-0.54,1.5227,-11.98,-161.54,28.92,Walking
0.8,70,0,3,15,0,0,-0.256,-0.5361,1.3233,-10.97,-179.8,35.89,Walking
0.82,26,0,5,32,0,5,-0.2902,-0.385,1.1074,-0.05,-173.96,38.2,Walking
0.84,2,5,0,16,14,28,-0.1806,-0.4201,0.9691,-0.85,-193.63,49.7,Walking
0.86,60,12,0,20,1,33,-0.304,-0.3082,1.0629,0.66,-200.05,37.79,Walking
0.88,0,0,4,61,52,0,-0.3578,-0.1442,0.8298,0.02,-190.71,37.4,Walking
0.9,10,10,25,15,62,22,-0.2701,-0.0801,0.5064,14.56,-179.62,52.05,Walking
0.92,0,10,0,69,0,21,-0.1888,-0.2689,0.4451,14.47,-169.24,45.24,Walking
0.94,15,0,48,0,0,12,-0.2805,-0.2515,0.2088,13.61,-158.77,51.4,Walking
0.96,46,30,32,2,22,32,-0.2318,-0.0937,0.4352,21.39,-143.89,35.26,Walking
0.98,9,0,12,34,39,8,-0.2716,-0.0968,0.4374,28.46,-134.51,39.81,Walking
1.0,0,14,28,39,0,23,-0.0672,0.0151,0.3538,15.87,-124.82,42.19,Walking
1.02,63,11,7,15,0,4,-0.1241,0.0816,0.2265,23.08,-110.56,40.74,Walking
1.04,49,0,0,7,5,22,-0.216,0.211,0.2624,26.22,-86.47,44.91,Walking
1.06,0,8,33,0,24,0,-0.2051,0.1806,0.4923,18.04,-73.41,29.87,Walking
1.08,16,18,0,39,26,0,-0.146,0.2458,0.5503,21.78,-73.45,29.05,Walking
1.1,16,3,0,1,0,7,-0.0671,0.2205,0.7083,33.83,-26.52,29.48,Walking
1.12,43,10,16,48,22,0,0.006,0.6306,0.9264,35.15,-27.67,23.02,Walking
1.14,208,36,10,25,0,22,0.0401,0.4714,1.1051,33.07,5.15,23.95,Walking
1.16,456,0,0,0,10,0,0.0093,0.3068,1.2364,33.81,45.95,9.64,Walking
1.18,996,0,19,16,0,0,0.0236,0.4694,1.4155,29.87,54.12,17.98,Walking
1.2,1676,28,2,28,5,7,0.091,0.6288,1.5469,32.03,78.73,12.77,Walking
1.22,2391,27,0,39,11,14,0.2166,0.5608,1.5648,22.8,89.83,-2.44,Walking
1.24,2793,47,0,12,0,0,0.1762,0.5579,1.5055,21.5,103.16,-11.57,Walking
1.26,2682,67,24,44,27,0,0.2512,0.7788,1.7027,24.87,101.12,-10.9,Walking
1.28,2116,240,85,0,6,31,0.2222,0.5153,1.7123,29.33,124.48,-12.92,Walking
1.3,1363,452,177,44,10,24,0.3011,0.5346,1.6441,20.82,148.03,-15.83,Walking
1.32,717,678,301,0,27,0,0.2448,0.4795,1.6636,18.56,163.05,-23.94,Walking
1.34,355,1008,581,10,2,0,0.2516,0.5462,1.5516,6.82,151.7,-27.96,Walking
1.36,163,1223,788,49,0,19,0.2993,0.4264,1.4179,11.4,172.97,-25.56,Walking
1.38,47,1350,999,14,7,34,0.2781,0.4553,1.2838,11.04,185.25,-38.55,Walking
1.4,0,1266,1126,95,0,48,0.2695,0.4988,1.0525,-1.12,206.44,-39.74,Walking
1.42,0,1027,1035,207,90,0,0.1964,0.4418,0.8622,-7.52,194.81,-30.21,Walking
1.44,24,721,874,346,109,15,0.2288,0.3577,0.7798,-0.76,194.42,-36.27,Walking
1.46,0,429,657,698,446,17,0.3177,0.286,0.6539,-6.84,189.84,-44.22,Walking
1.48,9,222,376,1141,731,0,0.2573,0.1558,0.332,0.27,165.87,-39.74,Walking
1.5,30,145,221,1586,1211,0,0.2979,0.1222,0.4693,-7.86,162.22,-42.33,Walking
1.52,0,43,117,2082,1787,0,0.3064,0.1516,0.4208,-20.19,174.14,-35.74,Walking
1.54,0,19,91,2454,2405,12,0.1237,0.0659,0.2924,-29.77,151.51,-46.37,Walking
1.56,43,12,45,2680,2866,60,0.1426,-0.0694,0.2743,-22.58,104.17,-42.09,Walking
1.58,0,0,0,2536,3136,114,0.0927,-0.1658,0.276,-26.29,99.64,-36.24,Walking
1.6,2,23,28,2207,3057,255,0.2837,-0.0373,0.4671,-22.1,102.81,-31.23,Walking
1.62,0,36,0,1659,2703,618,0.0618,-0.296,0.479,-33.5,72.86,-33.9,Walking
1.64,0,0,0,1229,2110,1132,0.0273,-0.3195,0.6611,-30.98,61.95,-33.51,Walking
1.66,0,0,9,735,1524,1717,0.0299,-0.4485,0.9177,-34.42,42.26,-30.38,Walking
1.68,36,0,16,371,1003,2199,0.0117,-0.3445,0.9138,-32.96,-13.52,-25.28,Walking
1.7,0,0,39,228,553,2383,-0.037,-0.3922,1.0252,-38.85,-7.01,-17.9,Walking
1.72,1,0,3,102,339,2129,0.0507,-0.4736,1.1571,-32.61,-16.91,-12.6,Walking
1.74,0,6,0,34,103,1626,-0.2399,-0.4034,1.44,-32.48,-45.94,-20.2,Walking
1.76,5,19,14,0,68,1061,-0.1752,-0.5986,1.6221,-26.13,-51.29,-4.68,Walking
1.78,0,19,0,37,22,548,-0.1264,-0.4769,1.4066,-30.17,-86.21,-7.39,Walking
1.8,11,0,4,15,16,177,-0.211,-0.5438,1.6466,-31.44,-104.55,-1.84,Walking
1.82,63,0,11,0,0,1,-0.0838,-0.5383,1.7249,-29.87,-110.33,13.27,Walking
1.84,31,14,0,5,42,0,-0.1978,-0.5406,1.6366,-14.06,-136.55,8.81,Walking
1.86,10,20,0,0,19,29,-0.1771,-0.6194,1.7508,-23.35,-138.8,15.43,Walking
1.88,33,0,0,0,37,57,-0.2014,-0.6617,1.5888,-20.69,-154.81,20.16,Walking
1.9,3,27,19,0,0,0,-0.3231,-0.6706,1.5732,-18.2,-170.42,27.07,Walking
1.92,47,4,0,0,46,15,-0.2635,-0.5744,1.3301,-16.32,-175.73,32.24,Walking
1.94,17,0,44,11,39,0,-0.3185,-0.4426,1.3695,-12.34,-175.01,40.2,Walking
1.96,21,16,0,22,34,18,-0.2857,-0.5378,1.2122,-2.82,-185.57,32.67,Walking
1.98,16,17,15,49,24,4,-0.2879,-0.4625,0.9313,-9.16,-182.29,24.6,Walking
2.0,0,0,16,0,24,33,-0.1441,-0.2456,0.972,4.65,-189.94,45.92,Walking
2.02,6,10,0,9,0,15,-0.2205,-0.1826,0.7067,1.13,-190.49,37.76,Walking
2.04,32,12,1,0,0,0,-0.2758,-0.1823,0.5396,0.31,-174.07,41.03,Walking
2.06,32,8,37,9,50,0,-0.2978,-0.3088,0.52,9.21,-189.81,38.83,Walking
2.08,0,0,0,8,0,0,-0.2854,0.019,0.3349,11.4,-157.87,41.56,Walking
2.1,6,40,14,0,52,34,-0.0971,-0.1145,0.4314,18.99,-140.41,46.79,Walking
2.12,1,22,23,0,27,0,-0.139,-0.1201,0.3025,22.84,-150.11,35.65,Walking
2.14,0,0,1,34,0,27,-0.189,0.1412,0.4661,26.94,-96.98,33.33,Walking
2.16,0,17,1,0,0,0,-0.1639,0.0672,0.4839,29.34,-111.16,34.09,Walking
2.18,17,15,0,0,12,7,-0.1037,0.2245,0.433,30.44,-93.82,36.55,Walking
2.2,5,48,8,42,0,0,-0.1712,0.2237,0.8441,29.81,-85.08,30.86,Walking
2.22,30,30,0,43,0,0,0.022,0.2755,0.5608,37.14,-46.15,26.4,Walking
2.24,41,8,0,32,0,53,-0.0818,0.5078,0.7799,42.23,-11.22,27.14,Walking
2.26,30,0,0,10,48,0,-0.042,0.454,1.0778,37.93,-0.99,13.51,Walking
2.28,250,9,0,25,0,0,0.0589,0.4286,1.1269,35.2,15.38,17.25,Walking
2.3,691,0,17,0,0,0,0.0652,0.5328,1.1644,36.91,42.73,6.43,Walking
2.32,1263,14,26,0,0,10,-0.0191,0.4789,1.3302,22.1,65.02,12.8,Walking
2.34,2051,19,0,0,31,14,0.1871,0.4544,1.5105,31.26,86.5,1.25,Walking
2.36,2649,35,28,0,0,9,0.0911,0.5647,1.6003,28.36,90.14,-0.53,Walking
2.38,2808,58,25,12,0,12,0.229,0.5161,1.8228,29.73,100.54,-2.55,Walking
2.4,2533,118,60,31,0,0,0.3254,0.5191,1.7362,27.42,142.79,-6.95,Walking
2.42,1779,294,100,0,0,0,0.1596,0.5948,1.6538,21.66,137.46,-10.95,Walking
2.44,1014,593,193,0,4,64,0.3014,0.4782,1.6669,27.28,158.1,-15.93,Walking
2.46,507,848,409,2,0,0,0.2868,0.6314,1.5552,14.02,170.77,-19.14,Walking
2.48,244,1089,578,0,53,7,0.2756,0.6818,1.4729,6.27,169.76,-33.53,Walking
2.5,44,1316,862,15,19,17,0.335,0.523,1.3516,5.48,168.75,-30.44,Walking
2.52,25,1319,1063,48,0,0,0.2818,0.4201,1.2623,-2.55,175.24,-36.92,Walking
2.54,34,1198,1118,171,63,8,0.3617,0.4595,0.9055,1.77,197.8,-33.13,Walking
2.56,43,922,995,228,138,5,0.2825,0.3662,0.8671,-0.28,178.06,-38.78,Walking
2.58,0,574,785,489,327,2,0.2648,0.3374,0.6934,-7.34,177.25,-42.48,Walking
2.6,48,335,528,863,541,6,0.343,0.3289,0.6041,-5.84,175.58,-37.85,Walking
2.62,51,201,332,1331,946,1,0.1877,0.1556,0.5888,-6.8,168.3,-45.8,Walking
2.64,0,69,180,1827,1503,0,0.1773,0.2795,0.4619,-19.07,172.49,-40.21,Walking
2.66,0,64,87,2287,2058,0,0.3507,0.0653,0.5805,-17.13,144.34,-44.36,Walking
2.68,0,28,38,2593,2712,39,0.2433,-0.1027,0.3317,-17.69,129.27,-44.45,Walking
2.7,0,8,11,2617,3087,46,0.2007,-0.0336,0.2289,-26.82,122.82,-34.26,Walking
2.72,36,0,0,2480,3178,160,0.0742,-0.1249,0.3513,-27.78,102.16,-38.94,Walking
2.74,7,15,13,2046,2997,399,0.177,-0.2012,0.4417,-17.24,98.66,-37.46,Walking
2.76,0,12,25,1526,2456,774,0.1225,-0.1698,0.465,-26.78,70.84,-31.99,Walking
2.78,40,0,0,986,1926,1349,-0.0071,-0.2127,0.8373,-23.64,44.21,-34.7,Walking
2.8,0,13,15,601,1301,1977,0.0878,-0.3604,0.7972,-28.56,44.57,-17.34,Walking
2.82,18,0,0,348,771,2381,0.1374,-0.2711,0.9637,-35.26,-5.96,-20.44,Walking
2.84,16,0,16,200,473,2388,0.1138,-0.3244,1.0716,-25.79,-19.7,-18.96,Walking
2.86,45,22,4,55,201,1930,-0.0881,-0.5589,1.2278,-26.51,-18.6,-14.28,Walking
2.88,0,12,0,64,67,1363,0.0655,-0.464,1.1851,-36.63,-59.95,-21.86,Walking
2.9,47,0,37,0,59,828,-0.109,-0.6315,1.6277,-26.98,-77.14,-0.07,Walking
2.92,0,0,0,0,34,415,-0.1592,-0.4021,1.7251,-33.57,-88.4,1.29,Walking
2.94,0,3,0,44,11,165,-0.1919,-0.5448,1.6467,-25.4,-94.02,6.18,Walking
2.96,23,4,12,0,46,0,-0.1146,-0.5849,1.6883,-19.74,-124.66,7.83,Walking
2.98,9,0,7,24,4,0,-0.2341,-0.6553,1.6017,-26.64,-120.6,22.99,Walking
3.0,0,0,0,36,21,65,-0.3223,-0.5941,1.9097,-19.67,-144.12,16.39,Walking
3.02,75,10,0,0,9,15,-0.1963,-0.7362,1.5533,-16.62,-152.76,23.18,Walking
3.04,2,0,0,0,0,0,-0.1687,-0.7323,1.4214,-14.85,-169.8,31.26,Walking
3.06,54,6,18,0,0,16,-0.3105,-0.5646,1.2771,-9.48,-179.48,28.73,Walking
3.08,0,10,23,0,40,74,-0.2984,-0.3884,1.363,2.79,-181.8,34.07,Walking
3.1,0,0,0,26,0,12,-0.304,-0.4643,1.0046,-2.64,-178.95,34.22,Walking
3.12,0,43,3,0,20,20,-0.2597,-0.4083,1.0623,1.54,-175.54,39.55,Walking
3.14,0,16,8,0,0,31,-0.2698,-0.334,0.7547,1.72,-181.48,33.75,Walking
3.16,10,33,0,15,0,0,-0.2805,-0.3559,0.6674,6.44,-171.65,40.38,Walking
3.18,0,30,27,48,13,0,-0.3305,-0.2191,0.4238,9.27,-190.78,43.83,Walking
3.2,24,4,6,4,58,0,-0.2268,-0.1834,0.4118,19.64,-160.19,45.89,Walking
3.22,0,48,0,0,0,0,-0.3072,-0.0871,0.4076,12.76,-158.66,40.41,Walking
3.24,15,0,19,1,53,31,-0.1442,0.0275,0.2108,15.39,-129.5,37.44,Walking
3.26,22,0,0,23,0,0,-0.1079,0.0733,0.3034,23.3,-143.55,51.32,Walking
3.28,0,10,54,12,43,55,-0.1632,0.0279,0.3248,25.24,-121.82,36.61,Walking
3.3,51,41,0,0,11,15,-0.1243,0.149,0.4113,33.66,-109.85,40.78,Walking
3.32,1,0,17,0,0,44,-0.0846,0.1418,0.6585,38.97,-89.06,30.08,Walking
3.34,21,12,2,37,9,0,-0.0592,0.2697,0.6497,34.87,-26.79,31.67,Walking
3.36,0,0,0,40,19,26,-0.0224,0.2248,0.9043,33.5,-31.19,29.63,Walking
3.38,0,7,0,0,25,34,-0.0278,0.4602,0.7902,37.09,-26.51,21.7,Walking
3.4,146,14,31,0,0,10,0.1145,0.4448,1.1984,33.21,14.16,29.09,Walking
3.42,466,5,5,3,11,15,0.07,0.5216,1.3409,30.65,21.81,18.0,Walking
3.44,883,0,0,1,0,0,-0.0547,0.5172,1.1909,36.83,45.01,22.78,Walking
3.46,1541,30,0,0,0,0,0.0594,0.5931,1.3666,31.9,73.73,5.7,Walking
3.48,2355,0,0,0,0,0,0.1697,0.4902,1.6049,25.13,90.25,1.78,Walking
3.5,2831,46,47,0,0,7,0.2591,0.5909,1.716,24.11,93.06,-5.12,Walking
3.52,2770,95,19,0,0,12,0.1461,0.5026,1.4874,20.79,113.77,1.17,Walking
3.54,2255,151,64,9,31,18,0.2013,0.6673,1.7265,20.68,134.8,-5.8,Walking
3.56,1485,386,144,3,0,18,0.3199,0.5263,1.7297,19.34,155.82,-12.32,Walking
3.58,835,673,314,0,0,0,0.2375,0.4772,1.4736,22.79,158.27,-26.13,Walking
3.6,390,951,495,25,2,37,0.2335,0.4944,1.4931,10.6,153.65,-29.25,Walking
3.62,116,1176,707,23,0,16,0.2366,0.4279,1.3978,21.11,194.6,-23.04,Walking
3.64,39,1349,976,47,29,0,0.2764,0.4826,1.3856,4.86,183.79,-27.7,Walking
3.66,37,1317,1106,122,0,0,0.2807,0.4,1.2071,4.34,180.81,-38.98,Walking
3.68,26,1118,1087,181,112,21,0.2627,0.4501,1.0264,14.34,179.37,-41.75,Walking
3.7,12,800,928,326,199,29,0.2893,0.4288,0.7347,-2.4,183.23,-38.96,Walking
3.72,41,498,709,600,325,0,0.2055,0.3402,0.6722,-17.4,167.46,-36.0,Walking
3.74,41,261,435,1040,716,0,0.3433,0.1756,0.4025,-4.32,176.57,-34.09,Walking
3.76,19,131,251,1506,1141,0,0.2257,0.1492,0.5069,-3.99,156.4,-43.42,Walking
3.78,0,49,140,1990,1649,33,0.2788,0.1996,0.3938,-22.68,148.49,-39.64,Walking
3.8,27,43,87,2473,2292,33,0.1758,0.0184,0.3701,-21.04,147.24,-36.52,Walking
3.82,9,0,48,2659,2752,29,0.3321,0.0368,0.1778,-16.9,122.85,-40.66,Walking
3.84,60,14,0,2591,3159,56,0.1458,-0.0726,0.2833,-26.65,95.99,-35.48,Walking
3.86,31,0,19,2312,3086,210,0.1649,-0.0461,0.3723,-27.94,100.36,-33.52,Walking
3.88,33,0,11,1823,2794,519,0.1604,-0.205,0.3998,-24.93,85.98,-36.83,Walking
3.9,2,0,36,1272,2288,1024,-0.0028,-0.1896,0.4157,-31.13,49.46,-34.6,Walking
3.92,0,8,12,868,1622,1583,-0.0326,-0.2906,0.6711,-33.52,43.58,-35.07,Walking
3.94,3,0,18,441,1079,2165,0.0845,-0.2718,0.7555,-30.9,34.96,-25.27,Walking
3.96,0,1,0,283,628,2421,-0.0031,-0.3557,1.0783,-40.85,-12.33,-27.25,Walking
3.98,28,0,14,114,390,2268,-0.0351,-0.416,1.1217,-26.72,4.13,-12.32,Walking
4.0,0,0,7,70,182,1757,-0.0899,-0.385,1.424,-33.62,-38.7,-8.48,Walking
4.02,19,11,28,0,65,1128,0.0433,-0.5976,1.51,-35.02,-56.43,-12.8,Walking
4.04,6,0,20,22,80,647,-0.2181,-0.4713,1.4946,-22.67,-70.87,3.49,Walking
4.06,0,0,0,19,0,295,-0.1343,-0.5279,1.634,-23.88,-112.71,-2.58,Walking
4.08,52,0,0,10,10,13,-0.1071,-0.6602,1.705,-30.47,-97.75,5.35,Walking
4.1,0,0,0,0,9,44,-0.2682,-0.5925,1.7446,-25.05,-127.86,17.18,Walking
4.12,28,5,22,0,12,0,-0.2703,-0.5291,1.6233,-20.52,-146.51,11.89,Walking
4.14,0,8,0,0,13,28,-0.3172,-0.5964,1.5607,-16.3,-134.31,21.11,Walking
4.16,0,0,40,34,0,0,-0.196,-0.5856,1.5945,-18.59,-171.64,27.78,Walking
4.18,0,0,10,27,0,32,-0.1484,-0.5642,1.5625,-16.37,-174.29,26.61,Walking
4.2,0,31,0,1,0,0,-0.317,-0.4699,1.2969,-13.92,-192.57,33.7,Walking
4.22,0,20,24,11,0,0,-0.288,-0.4941,1.2738,-7.41,-189.91,23.1,Walking
4.24,19,0,9,0,16,54,-0.3287,-0.274,1.0347,-17.99,-183.07,40.34,Walking
4.26,0,31,15,0,0,20,-0.34,-0.4345,0.8144,6.19,-178.31,43.77,Walking
4.28,23,0,6,30,0,2,-0.2051,-0.2775,0.7709,9.86,-168.27,39.08,Walking
4.3,0,19,6,17,31,14,-0.2307,-0.2512,0.4738,7.74,-190.34,41.02,Walking
4.32,0,10,25,11,13,0,-0.2338,-0.2072,0.5969,9.88,-183.02,39.92,Walking
4.34,35,21,0,32,9,0,-0.2894,-0.0495,0.3877,17.12,-157.11,50.09,Walking
4.36,0,0,0,0,7,0,-0.3888,-0.0126,0.214,20.36,-161.14,43.98,Walking
4.38,49,17,0,43,68,5,-0.1061,-0.0218,0.2216,14.15,-123.33,42.9,Walking
4.4,73,0,19,60,0,0,-0.117,0.0606,0.1787,18.94,-119.01,37.35,Walking
4.42,25,25,16,0,2,7,-0.1,0.1321,0.2919,28.12,-112.36,40.82,Walking
4.44,0,0,0,5,0,18,-0.0281,0.1692,0.5426,30.57,-92.79,33.44,Walking
4.46,17,0,14,0,26,26,-0.173,0.1954,0.6236,31.23,-74.04,39.67,Walking
4.48,52,0,12,4,14,22,-0.1201,0.2599,0.6774,34.19,-46.23,33.65,Walking
4.5,10,33,21,1,55,2,-0.0514,0.3201,0.843,28.14,-12.46,28.38,Walking
4.52,0,0,4,9,25,31,0.0217,0.5035,1.0333,33.99,-8.79,20.53,Walking
4.54,190,0,9,1,21,33,-0.021,0.5059,1.2062,30.66,19.61,18.28,Walking
4.56,566,0,24,25,31,0,0.0379,0.4461,1.1217,23.38,32.86,11.01,Walking
4.58,1120,29,46,4,12,0,0.0985,0.6302,1.4875,32.42,42.24,11.5,Walking
4.6,1842,20,0,12,20,34,0.0356,0.5137,1.5261,29.1,71.27,8.2,Walking
4.62,2539,4,0,43,0,0,0.1736,0.4777,1.498,27.13,93.8,1.9,Walking
4.64,2888,32,26,17,27,0,0.193,0.7485,1.6121,20.89,118.33,2.14,Walking
4.66,2600,144,98,0,0,0,0.2067,0.538,1.8132,34.1,103.45,-10.77,Walking
4.68,1991,239,84,84,0,0,0.1238,0.5299,1.7234,27.97,143.11,-7.68,Walking
4.7,1222,461,189,0,9,4,0.2382,0.5467,1.5845,10.52,152.88,-16.13,Walking
4.72,615,737,369,14,42,1,0.2086,0.5136,1.5017,19.93,159.85,-25.07,Walking
4.74,234,1077,628,0,0,0,0.2284,0.4544,1.411,4.2,170.13,-21.02,Walking
4.76,49,1281,789,0,0,0,0.2635,0.3863,1.4306,9.47,194.77,-40.37,Walking
4.78,85,1354,1032,78,14,14,0.2351,0.5278,1.2839,9.64,192.08,-30.07,Walking
4.8,61,1215,1078,93,123,17,0.2451,0.422,1.0959,-4.43,178.04,-38.29,Walking
4.82,3,1001,1010,211,101,0,0.1294,0.2497,1.0631,-6.67,192.31,-42.73,Walking
4.84,42,669,864,461,253,1,0.2577,0.4319,0.8337,-5.32,175.22,-44.21,Walking
4.86,33,404,579,770,472,0,0.1781,0.2,0.4757,-13.14,165.7,-37.04,Walking
4.88,30,199,384,1181,804,14,0.2775,0.3475,0.6148,-15.26,177.86,-41.6,Walking
4.9,0,111,218,1745,1336,21,0.2564,0.2453,0.5158,-18.18,163.05,-42.2,Walking
4.92,84,40,121,2131,1962,2,0.3213,-0.0714,0.5915,-13.19,151.16,-39.23,Walking
4.94,1,0,33,2525,2492,0,0.0626,0.0828,0.3659,-22.94,147.1,-40.58,Walking
4.96,44,0,14,2664,2996,33,0.3168,0.0773,0.3779,-14.59,133.09,-48.92,Walking
4.98,9,18,25,2525,3115,108,0.1301,0.0194,0.4884,-24.34,117.7,-34.49,Walking
5.0,0,0,0,2119,3033,380,0.1725,-0.0895,0.3108,-22.55,89.27,-39.17,Walking
5.02,0,0,22,1661,2568,709,0.0912,-0.1408,0.5028,-23.19,68.84,-27.31,Walking
5.04,0,0,0,1122,2021,1253,0.1282,-0.2571,0.5052,-26.68,60.95,-30.99,Walking
5.06,0,1,0,684,1422,1826,-0.0074,-0.3403,0.7641,-29.21,43.74,-25.77,Walking
5.08,0,0,0,426,895,2291,0.0533,-0.1747,0.8331,-32.98,17.55,-20.77,Walking
5.1,28,0,0,195,536,2353,-0.0098,-0.4766,0.9762,-28.95,-14.36,-11.46,Walking
5.12,0,0,0,46,318,2070,0.0446,-0.3807,1.0848,-27.57,-24.13,-18.16,Walking
5.14,0,0,50,0,87,1543,-0.0457,-0.4964,1.1829,-23.67,-51.45,-15.78,Walking
5.16,55,16,30,35,115,891,-0.1734,-0.4712,1.4109,-30.46,-71.32,-5.43,Walking
5.18,0,0,10,33,65,473,-0.1416,-0.6566,1.4589,-34.99,-73.13,-1.08,Walking
5.2,0,0,0,14,0,192,-0.0772,-0.7571,1.7091,-33.15,-92.07,3.1,Walking
5.22,4,15,26,39,0,16,-0.1048,-0.674,1.6853,-28.72,-114.31,11.22,Walking
5.24,26,35,35,4,0,0,-0.079,-0.4133,1.6899,-32.81,-136.87,14.03,Walking
5.26,43,2,18,0,0,0,-0.2026,-0.5862,1.5787,-14.93,-148.74,8.06,Walking
5.28,9,14,16,15,0,50,-0.2618,-0.5995,1.5636,-12.54,-154.33,14.64,Walking
5.3,62,37,4,0,0,0,-0.2289,-0.4547,1.4549,-13.79,-186.24,16.22,Walking
5.32,0,0,27,37,10,0,-0.2027,-0.5659,1.3665,-17.07,-184.84,29.93,Walking
5.34,6,0,0,14,0,29,-0.3195,-0.4655,1.481,-10.69,-175.5,29.19,Walking
5.36,0,13,0,0,0,11,-0.3277,-0.4395,0.9775,-0.48,-196.78,34.32,Walking
5.38,47,0,33,35,4,16,-0.2592,-0.5717,1.0041,6.49,-183.25,47.79,Walking
5.4,0,21,8,0,9,0,-0.3475,-0.4198,0.69,6.66,-206.13,42.12,Walking
5.42,0,0,30,0,7,8,-0.315,-0.3401,0.679,-1.62,-176.1,32.38,Walking
5.44,0,0,2,45,28,0,-0.2503,-0.2704,0.521,12.54,-189.28,43.99,Walking
5.46,33,14,16,16,11,14,-0.3037,-0.0967,0.4288,11.21,-176.59,44.75,Walking
5.48,13,0,0,40,0,33,-0.2708,-0.279,0.2555,24.43,-149.29,36.05,Walking
5.5,0,6,13,0,80,51,-0.2164,-0.0362,0.3504,14.45,-146.86,38.11,Walking
5.52,21,3,16,61,11,4,-0.2486,-0.0061,0.3577,23.22,-131.68,43.24,Walking
5.54,20,7,0,30,0,1,-0.1674,0.1949,0.2785,26.14,-109.59,41.95,Walking
